Symbol,P/E FWD,EPS FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
CRH,17.16,-,1.436,1.96844,Materials,3.88,4.24%,93.61,63211774000,677946940,15505999900,7.48%,10.15%,11/7/2024,-0.26%,0.40%,2/28/2025,B-
DD,19.09,8.70%,0.98674,1.18,Materials,3.35,-10.94%,75.26,31242166300,417955424,7650999800,-7.09%,-38.03%,11/5/2024,-2.22%,0.68%,2/7/2025,A+
GILD,20.73,1.40%,1.70632,2.02,Health Care,3.46,4.82%,91.23,1.13921E+11,1246265860,23249000400,17.61%,-97.92%,11/6/2024,-1.41%,-0.20%,2/3/2025,A+
ADI,30.18,-4.18%,1.53795,1.67,Information Technology,3.04,9.49%,218,1.06887E+11,496296864,8005241900,-1.64%,-49.92%,11/26/2024,0.67%,1.22%,2/14/2025,D+
CNI,20.06,1.08%,1.435050271,1.244492037,Industrials,2.84,2.53%,103.61,64496103000,628800000,15574091800,-12.63%,15.13%,10/22/2024,0.67%,1.05%,1/30/2025,C-
CSX,17.58,2.09%,0.43254,0.46,Industrials,2.97,3.78%,32,62365073000,1928419200,19133999100,-5.31%,0.98%,10/16/2024,0.40%,-1.05%,1/23/2025,D+
EQIX,83.97,19.19%,2.7308,3.1,Real Estate,2.99,8.60%,940,92625764000,96488184,19188000800,15.18%,19.20%,10/30/2024,1.99%,-2.08%,2/12/2025,D+
M,6.95,-19.04%,1.5688,0.04,Consumer Discretionary,2.77,-1.69%,16.4,4669834200,277635776,5825999900,-2.11%,-74.94%,12/11/2024,-0.05%,-2.50%,2/27/2025,F
ACN,27.76,6.09%,2.7933,3.59,Information Technology,3.16,8.58%,351.33,2.21326E+11,625479940,8146397200,6.41%,10.54%,12/19/2024,-1.23%,-0.71%,3/20/2025,C-
BX,39.98,4.08%,1.43443,1.01,Financials,3.18,15.23%,174.79,2.14888E+11,767895230,12838316000,21.16%,22.28%,10/17/2024,1.55%,-0.64%,1/28/2025,C-
CHWY,28.35,60.96%,0.19863,0.2,Consumer Discretionary,3.27,20.09%,37.07,14680502300,408245344,543627010,41.60%,2618.71%,12/4/2024,5.22%,3.09%,3/19/2025,C-
DELL,15.33,7.29%,2.50941,2.15,Information Technology,3.15,0.43%,124.66,83992060000,700459140,25862000600,-3.92%,56.67%,11/26/2024,2.61%,3.96%,2/25/2025,C-
DG,13.00,-17.62%,1.50011,0.89,Consumer Staples,2.64,8.07%,75.85,16421850100,219925664,17566181400,-32.36%,-30.39%,12/5/2024,-0.82%,1.58%,3/20/2025,C-
DOCU,25.53,22.47%,0.84445,0.9,Information Technology,4.75,26.51%,91.16,18221801500,201993136,130639000,40.49%,1852.18%,12/5/2024,-3.02%,1.05%,3/7/2025,B
DPZ,26.24,12.08%,4.97449,4.19,Consumer Discretionary,3.29,5.61%,424.5,15127769100,34531976,5203420200,-4.84%,11.23%,10/10/2024,2.19%,-3.10%,2/21/2025,A-
FAST,35.35,5.00%,0.47962,0.52,Industrials,2.94,7.18%,71.97,41070232000,572886460,526800000,0.54%,1.93%,10/11/2024,-2.13%,0.39%,1/17/2025,C+
KMX,25.04,8.53%,0.62615,0.81,Consumer Discretionary,3.27,6.02%,79.75,12323416100,153908032,19215614000,4.06%,-6.19%,12/19/2024,-3.66%,-0.40%,4/10/2025,B+
MDB,80.79,60.24%,0.65713,1.16,Information Technology,3.29,37.94%,252.86,18348810200,74470592,1202301950,-14.43%,NM,12/9/2024,1.98%,2.63%,3/7/2025,A+
RH,70.43,-14.14%,1.8686,2.48,Consumer Discretionary,3.24,3.20%,414.96,7542710800,18602848,3860692990,35.46%,-63.74%,12/12/2024,1.33%,2.34%,4/1/2025,B
